编号,符号形式,频率
1,-,53276
2,/,21668
3,[,15390
4,/~,12121
5,/-,6474
6,[/,5715
7,!,5661
8,(&,5522
9,&,4828
10,=,4474
11,(/,4426
12,~,3970
13,/(~,3450
14,:,2219
15,@,1889
16,!(,1880
17,=/~,1769
18,(,1653
19,([,1581
20,],1369
21,=/,1364
22,[:,1331
23,=~,1130
24,/(&,966
25,[/:,893
26,!(],877
27,@(&,785
28,=/(~,725
29,[-,709
30,=[,605
31,=-,601
32,([/,541
33,-&,499
34,=/-,492
35,-(,487
36,!(&,462
37,](&,458
38,-!,424
39,(-(,387
40,=!,375
41,[/~,352
42,[&,304
43,!(](&,301
44,(-,301
45,(/-,269
46,=[/,263
47,[:-,253
48,(/(~,193
49,=/(&,167
50,:-,166
51,(=/,153
52,](,152
53,[/(~,151
54,=:,125
55,=-(,124
56,[/-,117
57,=[:,113
58,=!(,95
59,[(=,92
60,/-(,90
61,-!(,77
62,([-,65
63,=[/:,56
64,-(&,54
65,(/(&,48
66,[-&,38
67,=!(],35
68,=[/~,33
69,!(](,32
70,=:-,32
71,(/~,32
72,[/(&,31
73,=!(&,30
74,([:-,30
75,([-&,28
76,=[-,27
77,/(=-,25
78,:-&,23
79,/&,21
80,=[&,19
81,[/:-,19
82,=!(](&,18
83,(=[/,18
84,=[/(~,18
85,[(,16
86,=-&,15
87,(=[,15
88,([/~,13
89,([/(~,12
90,!&,11
91,(:-(,11
92,([&,11
93,@(,10
94,([/-,9
95,=[:-,9
96,(~,9
97,(=/(~,8
98,[:-&,7
99,=:-&,7
100,!(@(&,7
101,=[/:-,7
102,-!&,6
103,:-(,5
104,=!(](,4
105,@&,4
106,(=/(&,4
107,[/-(,4
108,([/:,4
109,!(@,4
110,[(=:-,4
111,=[(=,3
112,-!(&,3
113,=[/-,2
114,@(],2
115,(=/~,2
116,[(:,2
117,[(=:,2
118,/(-,2
119,[(=-,2
120,(=[&,1
121,[/(,1
122,=!(@,1
123,=[(,1
124,[/(-(,1
125,/(~(,1
126,(=[-,1
127,([/(&,1
128,=[(:,1
